recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-4053745,"Brief von Werner Heisenberg an Georg Böse, 11.11.1195",1195-11-11,"Heisenberg, Werner (1901-1976)","Böse, Georg (1902-1974)",,Brief
DE-611-HS-3601564,"Brief von Friedrich Plutzar von Deutsches Reich. Reichskommissar für die Besetzten Niederländischen Gebiete an Werner Heisenberg an Generalverwaltung der Kaiser-Wilhelm-Gesellschaft, 1900",1900,"Plutzar, Friedrich; Deutsches Reich. Reichskommissar für die Besetzten Niederländischen Gebiete (1940-1945)","Heisenberg, Werner (1901-1976); Generalverwaltung der Kaiser-Wilhelm-Gesellschaft",,Brief
DE-611-HS-3592451,"Brief von Ernst Sander an Max-Planck-Gesellschaft zur Förderung der Wissenschaften, 21.04.1858",1858-04-21,"Sander, Ernst",Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-),,Brief
DE-611-HS-3592487,"Brief von Kurt Pfuhl von Max-Planck-Gesellschaft zur Förderung der Wissenschaften an Helmut Glaser an Max-Planck-Institut für Strömungsforschung (Göttingen), 24.04.1858",1858-04-24,"Pfuhl, Kurt; Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)","Glaser, Helmut (1906-1985); Max-Planck-Institut für Strömungsforschung (Göttingen) (1946-2004)","Sander, Ernst",Brief
DE-611-HS-3534272,"Brief von Karl-Heinz Fleitmann an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 10.06.1872 [[1972]]",1872-06-10,"Fleitmann, Karl-Heinz [vermutlich]","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3550574,"Brief von Nelson O. Chipchin von USA. Consulate General (München) an Werner Heisenberg, 1900",1900,"Chipchin, Nelson O. (1911-1997); USA. Consulate General (München)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3503118,"Brief von Kaiser-Wilhelm-Institut für Physikalische Forschung. Direktion. Sekretariat an Deutsche Kongress-Zentrale (Berlin), 1900",1900,Kaiser-Wilhelm-Institut für Physikalische Forschung. Direktion. Sekretariat,Deutsche Kongress-Zentrale (Berlin),,Brief
DE-611-HS-3476703,"Brief von Aloys Goergen von Akademie der Bildenden Künste München an Werner Heisenberg, 1900",1900,"Goergen, Aloys (1911-2005); Akademie der Bildenden Künste München (1808-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3798893,"Brief von Heinrich Pfeiffer an Werner Heisenberg, 18.02.1874",1874-02-18,"Pfeiffer, Heinrich (1927-2016)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3792966,"Brief von Franz Orthner an Werner Heisenberg, 1900",1900,"Orthner, Franz","Heisenberg, Werner (1901-1976)","Noack, Ulrich (1899-1974)",Brief
DE-611-HS-4108369,"Brief von Arthur Hübscher an Werner Heisenberg, 09.03.1449",1449-03-09,"Hübscher, Arthur (1897-1985)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3616514,"Brief von Heinz Potthoff an Werner Heisenberg, 12.12.1856",1856-12-12,"Potthoff, Heinz","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3684324,"Brief von Alexander von Humboldt an Carl von Hügel, 18.12.1840",1840-12-18,"Humboldt, Alexander von (1769-1859)","Hügel, Carl von (1796-1870)","Cuvier, Frédéric Georges (1773-1838); Hügel, Clemens Wenzel von (1791-1849)",Brief
DE-611-HS-3707185,"Brief von Günther Neske an Werner Heisenberg, 08.08.1661",1661-08-08,"Neske, Günther","Heisenberg, Werner (1901-1976)",,Brief
